x,y,z,yaw,pitch,roll,img
33.0,25.0,34.0,1.044306,-22.874239,4.9088855,image00002
55.0,41.0,38.0,68.15524,26.932743,17.24367,image00004
49.0,29.0,28.0,50.485413,-10.579652,-13.570645,image00006
38.0,29.0,25.0,17.143373,-10.048455,-21.392782,image00008
55.0,16.0,13.0,68.64055,-50.544582,-59.207973,image00010
33.0,32.0,28.0,0.68556523,-1.5361992,-12.643008,image00013
35.0,34.0,32.0,6.344487,3.2726903,-2.4799209,image00014
33.0,37.0,32.0,1.2876399,12.7900505,-0.39012492,image00019
40.0,29.0,24.0,21.995798,-9.785002,-25.029804,image00020
32.0,32.0,31.0,-1.3954765,-1.5428697,-3.2578287,image00021
56.0,37.0,36.0,71.62279,13.547766,9.571312,image00022
39.0,29.0,25.0,19.67921,-9.058602,-21.860031,image00023
41.0,33.0,33.0,25.3357,1.8395176,0.22292253,image00026
34.0,30.0,33.0,4.059742,-6.4751267,0.37222844,image00028
-1.0,-1.0,66.0,-102.959045,-300.00034,297.59592,image00032
23.0,24.0,42.0,-28.235657,-25.858303,28.968445,image00035
55.0,22.0,24.0,67.95265,-32.783363,-26.530737,image00036
32.0,32.0,34.0,-2.5491626,-0.5432848,3.3117738,image00039
33.0,29.0,33.0,0.23313175,-11.147087,0.23142506,image00040
33.0,30.0,34.0,0.79789275,-6.4045863,4.6696916,image00041
32.0,29.0,30.0,-1.478917,-11.009982,-7.7205505,image00042
31.0,28.0,32.0,-5.614597,-12.721718,-2.5340552,image00043
32.0,31.0,32.0,-0.8390055,-5.8706336,-2.1388109,image00044
31.0,29.0,36.0,-4.667914,-10.273435,9.85847,image00045
27.0,27.0,34.0,-16.182596,-15.788764,5.5271816,image00046
30.0,32.0,36.0,-8.967193,-2.5426888,10.558649,image00047
34.0,32.0,34.0,3.442288,-2.0237687,3.0551798,image00048
33.0,30.0,32.0,2.4796567,-6.1215777,-1.190523,image00049
33.0,31.0,34.0,0.93907404,-4.6635556,5.635692,image00050
33.0,32.0,34.0,2.0963337,-1.5315306,4.6412168,image00051
31.0,31.0,33.0,-4.0974545,-5.6949453,2.6901016,image00052
31.0,31.0,33.0,-5.620685,-4.7939262,2.5846152,image00053
32.0,30.0,33.0,-1.1482091,-8.579289,2.234392,image00054
34.0,31.0,32.0,3.2208068,-5.703167,-1.6763467,image00055
33.0,32.0,33.0,0.8343935,-2.5712445,0.5322691,image00056
31.0,32.0,34.0,-4.6225915,-2.6014256,4.586144,image00057
31.0,28.0,34.0,-4.8512087,-14.037651,5.081557,image00058
31.0,30.0,35.0,-4.768707,-7.182497,6.5724235,image00059
30.0,33.0,35.0,-6.3578925,0.5365774,8.328095,image00060
32.0,33.0,33.0,-0.9776204,2.2447524,0.78662044,image00061
32.0,34.0,34.0,-1.9272811,4.3514085,3.171458,image00062
32.0,30.0,33.0,-2.14067,-7.9602194,0.85327196,image00063
32.0,35.0,33.0,-0.11320163,6.3141084,2.5635736,image00064
33.0,30.0,34.0,0.13277669,-7.908564,5.19137,image00065
33.0,30.0,36.0,1.309991,-8.605042,10.393645,image00066
26.0,30.0,37.0,-19.33561,-8.613956,12.303966,image00067
29.0,29.0,37.0,-9.401809,-10.767397,14.782153,image00070
37.0,38.0,40.0,13.049802,16.377913,21.462208,image00072
53.0,32.0,33.0,62.4376,-0.55943966,2.973572,image00074
36.0,22.0,27.0,9.733699,-30.956587,-15.132178,image00075
23.0,28.0,35.0,-28.275549,-12.475431,8.680942,image00076
59.0,27.0,24.0,78.50771,-15.322254,-26.99129,image00077
46.0,32.0,34.0,40.78962,-2.2952511,4.711966,image00078
31.0,27.0,30.0,-3.1393924,-17.387213,-6.5068927,image00079
33.0,36.0,32.0,2.5447822,9.9634495,-0.3721395,image00080
38.0,34.0,32.0,17.906864,4.4647546,-0.6893658,image00081
40.0,28.0,31.0,22.097603,-13.2223835,-5.494927,image00082
32.0,32.0,29.0,-0.6044282,-0.14082246,-9.690895,image00083
36.0,24.0,26.0,9.14644,-25.010923,-20.067501,image00084
35.0,31.0,32.0,8.707626,-3.7836466,-2.1559985,image00087
59.0,2.0,-1.0,79.798225,-91.63854,-103.39272,image00088
37.0,29.0,33.0,12.422392,-10.571454,1.405466,image00090
1.0,66.0,-1.0,-95.541,195.86859,-200.8079,image00091
32.0,27.0,32.0,-0.58257616,-15.117207,-1.4595977,image00092
33.0,30.0,32.0,0.65015906,-7.551235,-1.1941389,image00093
26.0,32.0,33.0,-19.331123,-1.8103696,0.5280193,image00095
32.0,30.0,37.0,-0.8672561,-7.115633,12.185466,image00097
38.0,29.0,32.0,15.573342,-11.430083,-2.0586329,image00098
43.0,35.0,24.0,31.794981,6.325832,-25.37624,image00099
30.0,26.0,33.0,-8.761569,-18.022821,0.9153162,image00100
28.0,28.0,37.0,-14.697392,-14.371841,13.422571,image00101
33.0,29.0,44.0,0.66566145,-9.58449,33.51862,image00102
26.0,40.0,30.0,-18.822256,22.129911,-6.268211,image00104
51.0,29.0,27.0,56.336792,-11.463431,-16.590782,image00107
60.0,31.0,32.0,82.347946,-4.5978765,-2.8135426,image00108
30.0,27.0,23.0,-8.617033,-17.864964,-28.4836,image00109
11.0,36.0,32.0,-64.973274,11.9952,-0.8269497,image00112
33.0,33.0,36.0,2.5216577,0.6714559,11.338059,image00114
59.0,38.0,32.0,78.25432,17.702675,-0.9191241,image00118
11.0,29.0,47.0,-64.77775,-10.913496,42.288513,image00120
24.0,29.0,34.0,-24.515627,-9.523913,4.5788603,image00122
37.0,30.0,30.0,12.98293,-7.4618077,-7.291056,image00124
34.0,34.0,32.0,3.808113,5.8105154,-0.33207092,image00126
35.0,33.0,29.0,6.2357473,1.5664246,-10.206505,image00127
24.0,42.0,35.0,-25.135733,28.69661,8.899987,image00131
42.0,29.0,29.0,28.429043,-11.814543,-11.463164,image00133
52.0,33.0,32.0,59.548027,2.515204,-2.9843853,image00134
33.0,30.0,42.0,0.9889041,-8.991811,29.3381,image00135
40.0,34.0,34.0,22.669653,3.7608905,3.101159,image00136
12.0,34.0,31.0,-60.569633,3.1340487,-5.515237,image00137
12.0,26.0,33.0,-60.097454,-18.957752,0.3109244,image00138
60.0,66.0,66.0,83.34661,112.92605,104.17497,image00139
28.0,32.0,35.0,-14.247584,-2.3950045,7.0743384,image00140
7.0,33.0,39.0,-75.979515,0.44733867,19.77324,image00143
32.0,33.0,28.0,-2.6796536,2.7041566,-13.810681,image00144
35.0,27.0,32.0,6.6594462,-16.434042,-2.4567904,image00148
66.0,-1.0,-1.0,118.90754,-320.1007,-327.57376,image00150
45.0,32.0,39.0,38.142376,-0.44294992,20.649633,image00151
37.0,30.0,28.0,13.748481,-7.36152,-13.300896,image00152
6.0,24.0,42.0,-78.64777,-26.419842,29.121796,image00158
34.0,32.0,21.0,3.7481172,-2.7967775,-33.423393,image00159
49.0,40.0,39.0,48.7227,23.205622,20.300129,image00160
32.0,24.0,35.0,-1.652981,-25.057558,7.6112266,image00161
52.0,35.0,30.0,57.782314,8.440031,-6.925857,image00164
32.0,29.0,33.0,-0.046889417,-9.648112,0.7468738,image00165
11.0,28.0,35.0,-63.30498,-12.138034,7.3410354,image00167
23.0,28.0,34.0,-27.941736,-12.688626,5.900313,image00168
59.0,13.0,9.0,78.31584,-59.666393,-69.53788,image00170
32.0,25.0,34.0,-0.63054854,-22.750582,3.6851454,image00174
